matrix_id,rhs_file,n,nnz,k,converged,reason,its,residual,time
45,mat_45.txt,mat_45.mtx,rhs_45_11.bin,0,True,2,31,6.21950916289141e-08,0.0006953640004212502
45,mat_45.txt,mat_45.mtx,rhs_45_11.bin,1,True,2,25,6.507800463094004e-08,0.0007233710002765292
45,mat_45.txt,mat_45.mtx,rhs_45_11.bin,2,True,2,17,7.267343650349138e-08,0.0006980179996389779
45,mat_45.txt,mat_45.mtx,rhs_45_11.bin,3,True,2,12,1.0667810742342733e-07,0.0008215719999498106
51,mat_51.txt,mat_51.mtx,rhs_51_1.bin,0,True,2,30,1.3599314540589767e-10,0.0008493699997416115
51,mat_51.txt,mat_51.mtx,rhs_51_1.bin,1,True,2,24,1.8145730523597465e-10,0.0007255370001075789
51,mat_51.txt,mat_51.mtx,rhs_51_1.bin,2,True,2,17,1.7372961385545065e-10,0.0007326599998123129
51,mat_51.txt,mat_51.mtx,rhs_51_1.bin,3,True,2,12,1.7564944538551245e-10,0.0008604049999121344
51,mat_51.txt,mat_51.mtx,rhs_51_2.bin,0,True,2,29,9.342480271665219e-09,0.0006693120003546937
51,mat_51.txt,mat_51.mtx,rhs_51_2.bin,1,True,2,23,1.8251010206086768e-08,0.0007084950002536061
51,mat_51.txt,mat_51.mtx,rhs_51_2.bin,2,True,2,16,1.93395952878655e-08,0.0006860049998067552
51,mat_51.txt,mat_51.mtx,rhs_51_2.bin,3,True,2,11,3.956952160314605e-08,0.0008206640004573273
51,mat_51.txt,mat_51.mtx,rhs_51_3.bin,0,True,2,29,2.7872037282463576e-08,0.0006671480005024932
51,mat_51.txt,mat_51.mtx,rhs_51_3.bin,1,True,2,23,5.625867590702583e-08,0.0006663090007350547
51,mat_51.txt,mat_51.mtx,rhs_51_3.bin,2,True,2,16,6.560329075801673e-08,0.00067252600001666
51,mat_51.txt,mat_51.mtx,rhs_51_3.bin,3,True,2,12,1.3920803446492617e-08,0.0008336549999512499
51,mat_51.txt,mat_51.mtx,rhs_51_4.bin,0,True,2,30,5.5525540690268766e-09,0.0006686139995508711
51,mat_51.txt,mat_51.mtx,rhs_51_4.bin,1,True,2,24,7.000712006941217e-09,0.0006923609998921165
51,mat_51.txt,mat_51.mtx,rhs_51_4.bin,2,True,2,16,1.4711987123686956e-08,0.0007640210005774861
51,mat_51.txt,mat_51.mtx,rhs_51_4.bin,3,True,2,12,8.260114161260494e-09,0.0008386129993596114
54,mat_54.txt,mat_54.mtx,rhs_54_1.bin,0,True,2,29,2.6241654422810103e-10,0.0007488640003430191
54,mat_54.txt,mat_54.mtx,rhs_54_1.bin,1,True,2,24,2.8435579855366037e-10,0.0006975989999773446
54,mat_54.txt,mat_54.mtx,rhs_54_1.bin,2,True,2,16,9.450927403944151e-10,0.0006728739999743993
54,mat_54.txt,mat_54.mtx,rhs_54_1.bin,3,True,2,12,3.256695244249222e-10,0.0008514649998687673
54,mat_54.txt,mat_54.mtx,rhs_54_2.bin,0,True,2,30,5.83368935837412e-10,0.0006495469997389591
54,mat_54.txt,mat_54.mtx,rhs_54_2.bin,1,True,2,24,1.3072775899976453e-09,0.0006744120000803377
54,mat_54.txt,mat_54.mtx,rhs_54_2.bin,2,True,2,17,8.503796201933959e-10,0.0006922209995536832
54,mat_54.txt,mat_54.mtx,rhs_54_2.bin,3,True,2,12,1.7591313775041993e-09,0.0008411970002271119
54,mat_54.txt,mat_54.mtx,rhs_54_3.bin,0,True,2,30,2.1349174220736173e-09,0.000664004000100249
54,mat_54.txt,mat_54.mtx,rhs_54_3.bin,1,True,2,24,3.4511651697211876e-09,0.0006757380006092717
54,mat_54.txt,mat_54.mtx,rhs_54_3.bin,2,True,2,17,1.8392419477423248e-09,0.0006839790003141388
54,mat_54.txt,mat_54.mtx,rhs_54_3.bin,3,True,2,12,1.0176309775907593e-08,0.0008050879996517324
54,mat_54.txt,mat_54.mtx,rhs_54_4.bin,0,True,2,29,4.353243675289972e-09,0.0006290119999903254
54,mat_54.txt,mat_54.mtx,rhs_54_4.bin,1,True,2,23,1.965754301443979e-09,0.0006561119998877984
54,mat_54.txt,mat_54.mtx,rhs_54_4.bin,2,True,2,16,3.981965206299238e-09,0.0006566009997186484
54,mat_54.txt,mat_54.mtx,rhs_54_4.bin,3,True,2,11,2.4591825466480066e-08,0.0008738149999771849
54,mat_54.txt,mat_54.mtx,rhs_54_5.bin,0,True,2,29,1.811965327118164e-08,0.0009515509991615545
54,mat_54.txt,mat_54.mtx,rhs_54_5.bin,1,True,2,23,2.2487633828311932e-08,0.0006804169997849385
54,mat_54.txt,mat_54.mtx,rhs_54_5.bin,2,True,2,16,1.7177582879483212e-08,0.0007050020003589452
54,mat_54.txt,mat_54.mtx,rhs_54_5.bin,3,True,2,11,8.84889290366373e-08,0.0008260409995273221
54,mat_54.txt,mat_54.mtx,rhs_54_6.bin,0,True,2,29,2.347642248744874e-08,0.0006554829997185152
54,mat_54.txt,mat_54.mtx,rhs_54_6.bin,1,True,2,22,6.225573529975042e-08,0.000654155999654904
54,mat_54.txt,mat_54.mtx,rhs_54_6.bin,2,True,2,15,1.299761658269375e-07,0.0006561819991475204
54,mat_54.txt,mat_54.mtx,rhs_54_6.bin,3,True,2,11,7.329794595299325e-08,0.0008253429996329942
